Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Paulaner Limo oder Spezi,Keine Marke,"€ 0,69",Kein vorheriger Preis,"1 l = 2,09","versch. Sorten, teilw. koffeinhaltig, je 0,33-l-Dose, zzgl. 0,25 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_118.jpg,0
Gerolsteiner Mineralwasser,Keine Marke,"€ 0,69",Kein vorheriger Preis,"1 l = 0,92","versch. Sorten, je 0,75-l-Fl, zzgl. 0,25 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_120.jpg,0
Bitburger Pils oder alkoholfrei,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 l = 2,02","versch. Sorten, je 6 x 0,33-l-Fl.-Sixpack, zzgl. 0,48 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_122.jpg,0
Corona Mexican Beer oder Cero alkoholfrei,Keine Marke,"€ 5,99",Kein vorheriger Preis,"1 l = 2,81","versch. Sorten, je 6 x 0,355-l-Fl.-Sixpack, zzgl. 0,48 Pfand",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_121.jpg,0
Freixenet Sekt,Keine Marke,"€ 3,79",Kein vorheriger Preis,"1 l = 5,05","versch. Sorten, teilweise alkoholfrei, je 0,75-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_123.jpg,0
Bree Wein oder Glühwein,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 l = 3,99","versch. Sorten, je 0,75-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_124.jpg,0
Rotkäppchen Sekt oder Fruchtsecco,Keine Marke,"€ 1,11",Kein vorheriger Preis,"1 l = 5,55","versch. Sorten, je 0,2-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_125.jpg,0
Katlenburger Fruchtglühwein,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, je 1-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_128.jpg,0
Mariacron Weinbrand,Keine Marke,"€ 6,49",Kein vorheriger Preis,"1 l = 9,27","36% Vol., je 0,7-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_129.jpg,0
REWE Feine Welt Bio Glühwein,Keine Marke,"€ 3,49",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, je 1-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_130.jpg,0
Moselland Akzente Qualitätswein,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 l = 5,32","versch. Sorten, je 0,75-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_131.jpg,0
III Freunde Grauburgunder oder Riesling alkoholfrei Qualitätswein,Keine Marke,"€ 7,99",Kein vorheriger Preis,"1 l = 10,65","trocken, je 0,75-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_132.jpg,0
Skyy Vodka,Keine Marke,"€ 10,99",Kein vorheriger Preis,"1 l = 15,70","40% Vol., je 0,7-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_133.jpg,0
REWE Feine Welt Espresso Martini,Keine Marke,"€ 6,99",Kein vorheriger Preis,"1 l = 9,99","15% Vol., je 0,7-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_134.jpg,0
REWE Beste Wahl Küchentücher Limited Edition,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"3-lagig, je 3 x 100-Blatt-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_135.jpg,0
Febreze Lufterfrischer,Keine Marke,"€ 3,29",Kein vorheriger Preis,"1 l = 17,78","versch. Sorten, je 185-ml-Dose",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_136.jpg,0
Meister Proper Reiniger,Keine Marke,"€ 1,59",Kein vorheriger Preis,Kein Mengenpreis,"versch. Sorten, je 1-l-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_137.jpg,0
Fairy Geschirr- spülmittel,Keine Marke,"€ 1,39",Kein vorheriger Preis,"1 l = 3,09","versch. Sorten, je 450-ml-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_138.jpg,0
Lenor All in 1 Pods Colorwaschmittel,Keine Marke,"€ 4,49",Kein vorheriger Preis,"1 WL = 0,30",je 15-WL-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_139.jpg,0
Lenor Waschmittel Aprilfrisch,Keine Marke,"€ 4,49",Kein vorheriger Preis,"1 WL = 0,22",je 20-WL-Fl,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_140.jpg,0
Tempo Taschentücher Box,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,je 100-St.-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_141.jpg,0
Tempo Taschentücher,Keine Marke,"€ 1,99",Kein vorheriger Preis,Kein Mengenpreis,je 15 x 10-St.-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_142.jpg,0
Dove Deospray,Keine Marke,"€ 2,19",Kein vorheriger Preis,"1 l = 14,60","versch. Sorten, je 150-ml-Dose",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_143.jpg,0
Axe Duschgel,Keine Marke,"€ 2,29",Kein vorheriger Preis,"1 l = 9,16","versch. Sorten, je 250-ml-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_144.jpg,0
Pampers Baby Dry Single Pack Pants,Keine Marke,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,"Größe 6 XL, je 20-St.-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_145.jpg,0
Pampers Baby Dry Pants Single Pack,Keine Marke,"€ 7,99",Kein vorheriger Preis,Kein Mengenpreis,"Größe 5, je 24-St.-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_146.jpg,0
Always Slipeinlagen Daily Protect,Keine Marke,"€ 2,59",Kein vorheriger Preis,Kein Mengenpreis,"XL mit Duft, je 40-St.-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_147.jpg,0
Always Discreet Inkontinenz-Einlagen,Keine Marke,"€ 2,99",Kein vorheriger Preis,Kein Mengenpreis,"Long, je 10-St.-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_148.jpg,0
Head & Shoulders Shampoo,Keine Marke,"€ 3,79",Kein vorheriger Preis,"1 l = 12,63","Classic, je 300-ml-Fl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_149.jpg,0
Always Slipeinlagen Daily Fresh,Keine Marke,"€ 2,59",Kein vorheriger Preis,Kein Mengenpreis,"Normal, je 56-St.-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_151.jpg,0
Weihnachts- konifere,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,"in weihnachtlicher Tüte, immergrün und winterhart, je St",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_152.jpg,0
Mini Weihnachtsstern,Keine Marke,"€ 1,49",Kein vorheriger Preis,Kein Mengenpreis,"mit Glitzer, je Topf",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_153.jpg,0
