Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Schlafsysteme 7-Zonen Taschenfederkern-Matratze,HN8,"€ 149,00",,"pro Einheit = 149,00",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_026.jpg,cat_non_food,,,ref_000026,obs_0000018192|obs_0000018591|obs_0000022207|obs_0000022726|obs_0000023898|obs_0000022496|obs_0000024320|obs_0000024756|obs_0000023163|obs_0000020900|obs_0000025265|obs_0000019003|obs_0000024764|obs_0000020081|obs_0000024763|obs_0000024765,obs_0000018192|obs_0000018591|obs_0000023472|obs_0000022207|obs_0000022726|obs_0000023166|obs_0000023898|obs_0000022496|obs_0000024320
Büroschrank Modell Lona,VCM,"€ 47,99",,"pro Einheit = 83,90",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_027.jpg,cat_non_food,,,ref_000027,obs_0000024326|obs_0000023901,
Schreibtisch Modell Emmelie,Inter Link,"€ 79,99",,"pro Einheit = 179,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_028.jpg,"cat_molkerei_kaese,tag_ultra_processed",,,ref_000028,obs_0000016622|obs_0000022667,
Schlafsessel,HOMCOM,"€ 149,00",,"pro Einheit = 387,90",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_030.jpg,cat_non_food,,,ref_000029,obs_0000022929|obs_0000018119,obs_0000022929|obs_0000018119
Smart Home-Gateway Zigbee,SILVERCREST,"€ 12,99",,"pro Einheit = 14,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_031.jpg,cat_non_food,,,ref_000030,,
Bürostuhl Modell Montreal,JUSKYS,"€ 59,99",,"pro Einheit = 119,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_032.jpg,"cat_non_food,tag_ultra_processed",,,ref_000031,obs_0000016194,
Babyschale inkl Base,Maxi Cosi,"€ 129,00",,"pro Einheit = 309,98",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_033.jpg,"cat_non_food,tag_ultra_processed",,,ref_000032,,
Autokindersitz Four360 S,Osann,"€ 129,00",,"pro Einheit = 229,95",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_034.jpg,"cat_non_food,tag_ultra_processed",,,ref_000033,obs_0000022555,obs_0000017365|obs_0000014871|obs_0000018844
Treppenhochstuhl,Roba,"€ 119,00",,"pro Einheit = 119,00",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_035.jpg,"cat_non_food,tag_ultra_processed",,,ref_000034,obs_0000023520|obs_0000017515|obs_0000020108|obs_0000025557|obs_0000020927,obs_0000023520
Baby-Schlafhilfe,ZAZU,"€ 29,99",,"pro Einheit = 50,00",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_036.jpg,cat_non_food,,,ref_000035,,
Blätterteigstange Pistazie-Vanille,Blätterteigstange Pistazie-Vanille,"€ 0,99",,"pro Einheit = 0,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_038.jpg,"cat_knabbern_naschen,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000036,,
Vollkorn-Körner-Krusti,BIOLAND,"€ 0,98",,"pro Einheit = 0,98",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_039.jpg,"cat_grundnahrung,diet_vegetarian,tag_whole_food",,,ref_000037,obs_0000024044|obs_0000000835,
Käselaugenstange,Käselaugenstange,"€ 1,18",,"pro Einheit = 1,77",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_040.jpg,"cat_grundnahrung,diet_vegetarian,sub_kaese,sub_milchprodukte",,,ref_000038,obs_0000021281|obs_0000020462|obs_0000021879,obs_0000021281|obs_0000020462|obs_0000021879
Quarkbällchen,Quarkbällchen,"€ 1,49",,"1 kg = 8,87",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_041.jpg,"cat_fleisch_wurst,diet_vegetarian,tag_ultra_processed",,BLS-D471700,ref_000039,obs_0000033963|obs_0000034478|obs_0000022559|obs_0000015649|obs_0000016705|obs_0000025734|obs_0000009577|obs_0000010027|obs_0000017260|obs_0000008397|obs_0000014989|obs_0000011920|obs_0000027829|obs_0000001088,obs_0000015649|obs_0000016705|obs_0000025734|obs_0000009577|obs_0000010027|obs_0000017260|obs_0000008397|obs_0000014989|obs_0000033963|obs_0000011920|obs_0000034478|obs_0000027829|obs_0000022559|obs_0000001088
Flammkuchen,Flammkuchen,"€ 0,99",,"pro Einheit = 0,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_042.jpg,"cat_tiefkuehl,sub_tk_fertiggerichte,sub_tk_pizza,tag_ultra_processed",,,ref_000040,obs_0000023713|obs_0000024135|obs_0000003616|obs_0000023992|obs_0000022366|obs_0000024418|obs_0000027386|obs_0000018047|obs_0000023990|obs_0000024415|obs_0000013174|obs_0000002169|obs_0000011901|obs_0000025086|obs_0000021004|obs_0000033686|obs_0000013342|obs_0000025032|obs_0000020185|obs_0000003701|obs_0000012202|obs_0000014511|obs_0000015695|obs_0000030169|obs_0000032637|obs_0000031989|obs_0000006150|obs_0000006664|obs_0000007601|obs_0000005579|obs_0000023294,obs_0000003616|obs_0000023713|obs_0000023992|obs_0000024135|obs_0000022366|obs_0000024418|obs_0000027386|obs_0000018047
Pizza Snack Salami,Pizza Snack Salami,"€ 0,69",,"pro Einheit = 0,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_043.jpg,"cat_fleisch_wurst,sub_tk_pizza,sub_wurst,tag_ultra_processed",,,ref_000041,obs_0000022563|obs_0000009035|obs_0000013826|obs_0000011919|obs_0000022827|obs_0000031488|obs_0000034368|obs_0000003701|obs_0000022498|obs_0000010316|obs_0000016602|obs_0000008425|obs_0000002285|obs_0000026898|obs_0000010530|obs_0000016755|obs_0000018804|obs_0000031198|obs_0000014824|obs_0000002611|obs_0000014932|obs_0000019030|obs_0000023186|obs_0000023205|obs_0000021226|obs_0000011010|obs_0000025355|obs_0000017184|obs_0000002957|obs_0000017375|obs_0000013341|obs_0000003239|obs_0000025802|obs_0000025810|obs_0000019666|obs_0000003307|obs_0000017698|obs_0000015693|obs_0000025934|obs_0000034176|obs_0000028273|obs_0000005781|obs_0000005867|obs_0000007987|obs_0000008039|obs_0000020407|obs_0000016328|obs_0000010234,obs_0000022563
Puten-Hacksteaks,Metzgerfrisch,"€ 2,19",,"pro Einheit = 3,39",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_044.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_hackfleisch,sub_schwein",,,ref_000042,obs_0000020561|obs_0000022951|obs_0000021380|obs_0000021684|obs_0000012766|obs_0000025781,obs_0000020561|obs_0000022951|obs_0000009090|obs_0000021380|obs_0000021684|obs_0000025781|obs_0000019646|obs_0000009593|obs_0000010043
METZGER-FRISCH Rinder-Rouladen,METZGER-FRISCH Rinder-Rouladen,"€ 16,99",,"pro Einheit = 16,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_045.jpg,"cat_fleisch_wurst,sub_rind,tag_proteinreich,tag_whole_food",,,ref_000043,obs_0000031691|obs_0000029663,obs_0000025795
ASC Frische Regenbogenforelle,Fischerstolz,"€ 6,00",,"1 kg = 11,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_046.jpg,cat_fisch_meeresfruechte,,,ref_000044,obs_0000024236|obs_0000023813|obs_0000014133|obs_0000005957,obs_0000024236|obs_0000023813
Hähnchen-Bruststeaks,Grillmeister,"€ 4,79",,"pro Einheit = 6,29",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_047.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_proteinreich",,BLS-V4A6100,ref_000045,,
Schweine Spare Ribs,Grillmeister,"€ 6,66",,"pro Einheit = 6,66",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_048.jpg,"cat_fleisch_wurst,sub_schwein",,,ref_000046,obs_0000023242|obs_0000016961|obs_0000019179|obs_0000017346|obs_0000023589|obs_0000006708|obs_0000022858,obs_0000023242
Frisches Rinder-Hackfleisch,Metzgerfrisch,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_049.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_hackfleisch,sub_rind,sub_schwein,tag_high_protein,tag_proteinreich",,,ref_000047,obs_0000023720|obs_0000024142|obs_0000022571|obs_0000024671|obs_0000023719|obs_0000019685|obs_0000024143|obs_0000002149|obs_0000026901|obs_0000031208|obs_0000027280|obs_0000031541|obs_0000029904|obs_0000029964|obs_0000026223|obs_0000032583|obs_0000026471|obs_0000022568|obs_0000029288|obs_0000031638|obs_0000030630|obs_0000000646|obs_0000000826|obs_0000001083|obs_0000030444,obs_0000023720|obs_0000024142
Frische grobe Bratwurst,METZGERFRISCH,"€ 4,99",,"1 kg = 4,16",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_050.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein,sub_wurst",,,ref_000048,obs_0000016533|obs_0000023367|obs_0000021161|obs_0000021756|obs_0000020342|obs_0000022569|obs_0000024944|obs_0000019662|obs_0000019942|obs_0000034927|obs_0000008620|obs_0000031237|obs_0000031320|obs_0000000643|obs_0000002715|obs_0000002948|obs_0000015339|obs_0000009254|obs_0000029908|obs_0000034127|obs_0000013672|obs_0000034326|obs_0000034548|obs_0000030575|obs_0000014245|obs_0000010602|obs_0000033720|obs_0000015773|obs_0000006539|obs_0000006701|obs_0000007634|obs_0000026247,obs_0000016533|obs_0000023367
Frische Hähnchen-Oberkeulen,Metzgerfrisch,"€ 6,99",,"1 kg = 3,50",,Nein,Gültig bis 11.04,2026-04-06,2026-04-11,../images/lidl/lidl_offer_051.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_schwein,tag_proteinreich",,,ref_000049,obs_0000022949|obs_0000025784|obs_0000030896|obs_0000029218|obs_0000031267|obs_0000029224|obs_0000029274|obs_0000029291|obs_0000031542|obs_0000031584|obs_0000031623|obs_0000031635|obs_0000029596|obs_0000029666|obs_0000029905,
