Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Vollwaschmittel,Persil,"€ 18,99",,"pro Einheit = 18,99",verschiedene Sorten,Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/persil-vollwaschmittel.jpg,cat_drogerie,,,ref_000167,obs_0000009612|obs_0000033183|obs_0000020903|obs_0000009907|obs_0000010174|obs_0000021837|obs_0000010063|obs_0000008150|obs_0000009441|obs_0000014310|obs_0000020084|obs_0000008571|obs_0000007709|obs_0000005289|obs_0000028748|obs_0000006244|obs_0000014182|obs_0000006761|obs_0000029401|obs_0000032775|obs_0000029402|obs_0000006940|obs_0000006395|obs_0000005853,obs_0000009612|obs_0000007709|obs_0000033183|obs_0000012454|obs_0000020903|obs_0000005289|obs_0000009907|obs_0000010174|obs_0000021837|obs_0000010063|obs_0000008150|obs_0000009441|obs_0000006244|obs_0000014310|obs_0000006761|obs_0000018542|obs_0000019568|obs_0000020084|obs_0000008571|obs_0000025598
Toilettenpapier,Hakle,"€ 2,99",,"pro Einheit = 2,99","verschiedene Sorten, 4-lagig, 8 x 130 Blatt Packung",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/hakle-toilettenpapier.jpg,cat_drogerie,,,ref_000168,obs_0000033855|obs_0000013454|obs_0000027323|obs_0000014665|obs_0000011770|obs_0000000527|obs_0000003599|obs_0000001568|obs_0000010282|obs_0000002116|obs_0000026693|obs_0000024163|obs_0000013932|obs_0000004745|obs_0000023741|obs_0000034994|obs_0000028373|obs_0000025816|obs_0000028891|obs_0000026332|obs_0000004318|obs_0000033514|obs_0000000748|obs_0000033004|obs_0000000261|obs_0000008992|obs_0000000809|obs_0000003891|obs_0000001341|obs_0000033636|obs_0000033135|obs_0000028024|obs_0000006587|obs_0000015949|obs_0000013633|obs_0000034260|obs_0000005667|obs_0000029750|obs_0000012878|obs_0000015950|obs_0000008297|obs_0000006764|obs_0000007297|obs_0000031364|obs_0000009866|obs_0000028827|obs_0000002720|obs_0000005291|obs_0000033456|obs_0000009406,obs_0000000527|obs_0000003599|obs_0000001568|obs_0000010282|obs_0000033855|obs_0000002116|obs_0000026693|obs_0000024163|obs_0000013932|obs_0000007297|obs_0000004745|obs_0000013454|obs_0000005291|obs_0000027323|obs_0000023741|obs_0000034994|obs_0000028373|obs_0000025816|obs_0000028891|obs_0000026332|obs_0000004318|obs_0000033514|obs_0000000748|obs_0000033004|obs_0000000261|obs_0000008992|obs_0000000809|obs_0000003891|obs_0000001341|obs_0000014665|obs_0000007502|obs_0000033636|obs_0000033135|obs_0000028024|obs_0000006053|obs_0000006587|obs_0000007117|obs_0000011770
wellaflex Haarspray oder Schaumfestiger,Keine Marke,"€ 2,49",,"pro Einheit = 2,49",verschiedene Sorten,Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/wellaflex-haarspray-oder-schaumfestiger.jpg,cat_drogerie,,,ref_000169,obs_0000010550|obs_0000013238|obs_0000013677|obs_0000005298|obs_0000005860|obs_0000008210|obs_0000006590|obs_0000033247|obs_0000032915|obs_0000032987|obs_0000033144|obs_0000033159|obs_0000033415|obs_0000015099|obs_0000011611|obs_0000016136,obs_0000010550|obs_0000013677
dusch das Duschgel,Keine Marke,"€ 0,99",,"1 l = 4,40","verschiedene Sorten, 225 ml Flasche, (1 l = 4,40 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/dusch-das-duschgel.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000170,obs_0000005670|obs_0000011788|obs_0000017459|obs_0000015972|obs_0000031850|obs_0000008329|obs_0000015523|obs_0000026290|obs_0000031924|obs_0000026347|obs_0000028939|obs_0000035065|obs_0000013602|obs_0000028963|obs_0000014682|obs_0000009054|obs_0000011624|obs_0000013165|obs_0000026494|obs_0000011174,obs_0000011788|obs_0000005670|obs_0000015972|obs_0000031924|obs_0000007920|obs_0000032036|obs_0000026494
Dove Advanced Care Duschcreme,Keine Marke,"€ 2,99",,"1 l = 13,29","verschiedene Sorten, 225 ml Flasche, (1 l = 13,29 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/dove-advanced-care-duschcreme.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000171,obs_0000014086|obs_0000015974,obs_0000014086
Drano Rohrfrei Gel,Keine Marke,"€ 2,99",,"pro Einheit = 2,99",verschiedene Sorten,Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/drano-rohrfrei-gel.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000172,obs_0000005859|obs_0000008899|obs_0000016369|obs_0000015105|obs_0000013367|obs_0000012010,obs_0000005859
Haushaltstücher mit Herzen,Regina,"€ 2,49",,"pro Einheit = 2,49","3-lagig, 4 x 43 Blatt Packung",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/regina-haushaltst-cher-mit-herzen.jpg,cat_drogerie,,,ref_000173,obs_0000006942|obs_0000005668,obs_0000006942|obs_0000005668
Deospray,bruno banani,"€ 2,79",,"1 l = 18,60","verschiedene Sorten, 150 ml Dose, (1 l = 18,60 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/bruno-banani-deospray.jpg,"cat_drogerie,diet_vegan",,,ref_000174,obs_0000033454|obs_0000015110|obs_0000032800|obs_0000026145|obs_0000031852|obs_0000003229|obs_0000026277|obs_0000032945|obs_0000033019|obs_0000027389|obs_0000013583|obs_0000035064|obs_0000033577|obs_0000002346|obs_0000034658|obs_0000026566|obs_0000034053|obs_0000032772|obs_0000032276|obs_0000034445|obs_0000005295|obs_0000029400|obs_0000031052|obs_0000005487|obs_0000029052|obs_0000030081|obs_0000032140|obs_0000014231|obs_0000008104|obs_0000003531|obs_0000033258|obs_0000034859|obs_0000033848|obs_0000033366|obs_0000015115|obs_0000013584|obs_0000033576|obs_0000007505|obs_0000033117|obs_0000033457|obs_0000033196|obs_0000034242|obs_0000032778|obs_0000029739|obs_0000025255|obs_0000021251|obs_0000020432|obs_0000007295,obs_0000032800|obs_0000026145|obs_0000031852|obs_0000003229|obs_0000026277|obs_0000033454|obs_0000032945|obs_0000033019|obs_0000027389|obs_0000015110|obs_0000013583|obs_0000035064|obs_0000033577|obs_0000002346|obs_0000007505|obs_0000034658|obs_0000026566
Signal Zahncreme,Keine Marke,"€ 0,99",,"1 l = 7,92","verschiedene Sorten, 125 ml XXL Tube, (1 l = 7,92 €)",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/signal-zahncreme.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000175,obs_0000015114|obs_0000031914|obs_0000012467|obs_0000022872|obs_0000027360|obs_0000012899|obs_0000008315|obs_0000012024,
felix Katzennahrung,Purina,"€ 3,79",,"pro Einheit = 3,79","verschiedene Sorten, 10/12er",Nein,Gültig vom 06.04.2026 bis zum 11.04.2026.,2026-04-06,2026-04-11,../images/edeka/purina-felix-katzennahrung.jpg,cat_tiernahrung,,,ref_000176,obs_0000026771|obs_0000028361|obs_0000032780|obs_0000005863|obs_0000006773|obs_0000033541|obs_0000034456|obs_0000032042|obs_0000013736|obs_0000005677|obs_0000015533|obs_0000027821|obs_0000014398|obs_0000008127|obs_0000026441|obs_0000012491|obs_0000015701|obs_0000014307|obs_0000008604,obs_0000032780|obs_0000026771|obs_0000005677|obs_0000028361|obs_0000005863|obs_0000006773
