Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Wilhelm Brandenburg Wiener Würstchen,Keine Marke,"€ 0,88",,"pro Einheit = 0,88","heiß und kalt zu genießen, je 100-g-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_089.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_wurst,tag_ultra_processed",bamberg,,ref_000229,obs_0000030838|obs_0000028076|obs_0000034174|obs_0000034811|obs_0000035106|obs_0000005789|obs_0000006186|obs_0000015758|obs_0000026784|obs_0000027189|obs_0000028276|obs_0000028948|obs_0000031274|obs_0000031737|obs_0000031889|obs_0000009369|obs_0000009557|obs_0000031788,obs_0000030838
Ponnath Käsekrainer,Keine Marke,"€ 2,79",,"1 kg = 13,95",je 200-g-Pckg.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_082.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,tag_ultra_processed,tag_whole_food",bamberg,,ref_000230,obs_0000027546,
Billie Green Veganer Snack Salami-Style,Keine Marke,"€ 1,99",,"1 kg = 26,53","versch. Sorten, je 75-g-Btl.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_079.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,sub_wurst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000231,obs_0000028986|obs_0000034368,
Berief Bio Haferdrink,Keine Marke,"€ 1,49",,"pro Einheit = 1,49","versch. Sorten, je 1-l-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_078.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000232,obs_0000029825|obs_0000032211|obs_0000001842|obs_0000022247|obs_0000023020|obs_0000010936,obs_0000029825|obs_0000032211
Mousse,Nestl,"€ 1,99",,"1 kg = 8,73","versch. Sorten, je 4 x 57-g-Becher-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_077.jpg,"cat_molkerei_kaese,diet_vegetarian,tag_ultra_processed",bamberg,BLS-X6A3020,ref_000233,obs_0000015380|obs_0000019981|obs_0000017492|obs_0000016658|obs_0000018773|obs_0000024444|obs_0000024017|obs_0000024558|obs_0000025835|obs_0000017448|obs_0000034878|obs_0000032351|obs_0000031548|obs_0000030534|obs_0000016272|obs_0000016394|obs_0000024622|obs_0000000087|obs_0000002144|obs_0000028284|obs_0000020652|obs_0000010929|obs_0000006834|obs_0000001241|obs_0000001758|obs_0000026346|obs_0000002317|obs_0000006453|obs_0000025433|obs_0000024440|obs_0000017800|obs_0000024022|obs_0000021471|obs_0000001539|obs_0000001096|obs_0000034905|obs_0000033428|obs_0000006809|obs_0000004880|obs_0000005912|obs_0000002857|obs_0000032084|obs_0000000346|obs_0000004453|obs_0000004026|obs_0000006112|obs_0000032489|obs_0000032501|obs_0000005341|obs_0000031986,obs_0000019981|obs_0000015380|obs_0000017492|obs_0000016658|obs_0000018773|obs_0000024444|obs_0000024017|obs_0000024558
Fruchtzwerge,Danone,"€ 1,49",,"1 kg = 4,97","versch. Sorten, je 6 x 50-g-Becher",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_076.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",bamberg,BLS-S118000,ref_000234,obs_0000034583|obs_0000011040|obs_0000006450|obs_0000023647|obs_0000022892|obs_0000019507|obs_0000008117|obs_0000029107|obs_0000030808|obs_0000005729,obs_0000034583|obs_0000011040|obs_0000016416|obs_0000018471|obs_0000006450|obs_0000022460|obs_0000028351|obs_0000010306|obs_0000023647|obs_0000005729|obs_0000022892|obs_0000017527
Frische Hähnchen-Ministeaks,REWE Regional,"€ 5,29",,"1 kg = 13,23",je 400-g-Pckg.,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_108.jpg,"cat_molkerei_kaese,sub_gefluegel,tag_whole_food",bamberg,,ref_000235,obs_0000031542|obs_0000027174|obs_0000028084|obs_0000029296|obs_0000004158|obs_0000030896|obs_0000022949|obs_0000000432|obs_0000004585|obs_0000029218|obs_0000031267|obs_0000029224|obs_0000014914|obs_0000029274|obs_0000029291|obs_0000031584|obs_0000031623|obs_0000031635|obs_0000005012|obs_0000029596|obs_0000029666|obs_0000011427|obs_0000025784|obs_0000029905,obs_0000023362
Milchreis,Müller,"€ 0,35",,"1 kg = 1,75","Zimt, je 200-g-Becher",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_075.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte,sub_reis,tag_ultra_processed",bamberg,,ref_000236,obs_0000034374|obs_0000025832|obs_0000024897|obs_0000004670|obs_0000021102|obs_0000004243|obs_0000003816|obs_0000003371|obs_0000020283|obs_0000025419|obs_0000002532|obs_0000002445|obs_0000009625|obs_0000032002|obs_0000028996|obs_0000012195|obs_0000013306|obs_0000015444|obs_0000031026|obs_0000029680|obs_0000011946|obs_0000032343|obs_0000009829|obs_0000009370|obs_0000007542|obs_0000008101|obs_0000006099|obs_0000029451|obs_0000007548,obs_0000002065|obs_0000025633|obs_0000019503|obs_0000004670|obs_0000034374|obs_0000021102|obs_0000004243|obs_0000016573|obs_0000003816|obs_0000025832|obs_0000003371|obs_0000020283|obs_0000024897|obs_0000025419|obs_0000002532
Butcher s Barbecue Schweine-Rückensteaks,Keine Marke,"€ 4,99",,"1 kg = 11,09","in versch. Marinaden, je 450-g-Pckg.",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_090.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegetarian,sub_schwein,tag_high_protein,tag_proteinreich,tag_whole_food",bamberg,,ref_000237,,
Metten Rindfleischsalami,Keine Marke,"€ 2,49",,"pro Einheit = 2,49",je 100-g-,Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_092.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,sub_wurst,tag_ultra_processed,tag_whole_food",bamberg,,ref_000238,,
Rinder-Beinscheiben,REWE Regional,"€ 12,99",,"pro Einheit = 12,99","SB-verpackt, je 1-kg-",Nein,2026-03-23 bis 2026-03-29,2026-03-23,2026-03-29,images_rewe/bamberg_offer_105.jpg,"cat_molkerei_kaese,diet_vegan,sub_rind,tag_proteinreich,tag_whole_food",bamberg,BLS-W273100,ref_000239,obs_0000028264|obs_0000016530|obs_0000021290|obs_0000017742|obs_0000031636|obs_0000029610|obs_0000029649|obs_0000020471|obs_0000025082|obs_0000002139|obs_0000029562,obs_0000028264|obs_0000016530|obs_0000021290|obs_0000017742|obs_0000031636|obs_0000029610|obs_0000029649|obs_0000020471|obs_0000025082
