Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
WWF Feldsalat Blattspinat oder Rucola,EDEKA Bio,"€ 1,00",,"1 kg = 10,00","aus Italien, Kl. II, 100 g Packung, (1 kg = 10,00)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-bio-wwf-feldsalat-blattspinat-oder-rucola.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_ultra_processed,tag_whole_food",,,ref_000021,obs_0000005890|obs_0000005895|obs_0000005712|obs_0000005708|obs_0000017466|obs_0000007739|obs_0000032334|obs_0000030830|obs_0000009855|obs_0000006273|obs_0000009394|obs_0000001300|obs_0000028482|obs_0000001874|obs_0000007525|obs_0000007533|obs_0000028592|obs_0000031672|obs_0000030142,obs_0000005895
Apeel Avocado Hass,EDEKA Herzstücke,"€ 2,49",,"pro Einheit = 2,49","aus Israel, Kl. I, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-apeel-avocado-hass.jpg,"cat_obst_gemuese,diet_vegetarian,tag_ultra_processed",,,ref_000022,obs_0000007317|obs_0000006430|obs_0000006785|obs_0000007527|obs_0000028218|obs_0000006418|obs_0000029201|obs_0000008728|obs_0000000058|obs_0000020117|obs_0000000694|obs_0000027854|obs_0000034516|obs_0000014073|obs_0000017166|obs_0000001305|obs_0000034105|obs_0000018748|obs_0000030562|obs_0000027541|obs_0000029123|obs_0000020936,obs_0000006785|obs_0000007527
Passionsfrucht,EDEKA Herzstücke,"€ 0,99",,"pro Einheit = 0,99","Herkunft siehe Etikett, Kl. I, Stück",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/edeka-herzst-cke-passionsfrucht.jpg,"cat_obst_gemuese,diet_vegetarian,tag_ultra_processed",,BLS-F508100,ref_000023,obs_0000008964|obs_0000030613|obs_0000013976|obs_0000027420|obs_0000003114|obs_0000033714|obs_0000028626|obs_0000028512|obs_0000013440|obs_0000006963|obs_0000006968|obs_0000011388,obs_0000008964|obs_0000030613|obs_0000013976|obs_0000027420|obs_0000003114|obs_0000033714|obs_0000006963|obs_0000006968|obs_0000028626|obs_0000028512
2 Packungen Gut Günstig Erdbeeren,Keine Marke,"€ 5,00",,"pro Einheit = 5,00","aus Spanien/Griechenland, Kl. I, à 500 g",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/2-packungen-gut-g-nstig-erdbeeren.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000024,obs_0000005687|obs_0000031261|obs_0000006265|obs_0000030915|obs_0000031462|obs_0000032512|obs_0000006408|obs_0000027419|obs_0000029494|obs_0000031576|obs_0000030564|obs_0000000875|obs_0000022919|obs_0000030617|obs_0000024529,
französischer Camembert,Le Rustique,"€ 2,49",,"pro Einheit = 2,49",verschiedene Sorten und Fettstufen,Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/le-rustique-franz-sischer-camembert.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000025,obs_0000022606|obs_0000024575|obs_0000010626|obs_0000031154|obs_0000034979|obs_0000005338|obs_0000026982|obs_0000007152,obs_0000022606|obs_0000005338|obs_0000007152|obs_0000024575
kerrygold Original Irische Butter oder extra,Keine Marke,"€ 1,11",,"pro Einheit = 1,11",verschiedene Sorten Je nach Verfügbarkeit des Marktes.,Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/kerrygold-original-irische-butter-oder-extra.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_butter_margarine,sub_fleischersatz,sub_gefluegel,sub_milchprodukte,sub_tk_gemuese,tag_high_protein,tag_ultra_processed",,,ref_000026,obs_0000006790|obs_0000016451|obs_0000025029|obs_0000023253|obs_0000023732|obs_0000024152|obs_0000028319|obs_0000014084|obs_0000000141|obs_0000000170|obs_0000029096|obs_0000009428|obs_0000032079|obs_0000003593|obs_0000009892|obs_0000002069|obs_0000014367|obs_0000024620|obs_0000000107|obs_0000012446|obs_0000010409|obs_0000034970|obs_0000018644|obs_0000008456|obs_0000018772|obs_0000008556|obs_0000027049|obs_0000012797|obs_0000002620|obs_0000002676|obs_0000015088|obs_0000011042|obs_0000019269|obs_0000013125|obs_0000009075|obs_0000013180|obs_0000027517|obs_0000000997|obs_0000019493|obs_0000031786|obs_0000015501|obs_0000003267|obs_0000011467|obs_0000013624|obs_0000011593|obs_0000001425|obs_0000017835|obs_0000021984|obs_0000003591|obs_0000003636,obs_0000006790
Käse oder Reibekäse,Milram,"€ 1,29",,"1 kg = 9,93","verschiedene Sorten und Fettstufen, 150 g Packung, (1 kg = 9,93 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/milram-k-se-oder-reibek-se.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte",,,ref_000027,obs_0000005899|obs_0000006439|obs_0000008365|obs_0000006457|obs_0000000437|obs_0000008883|obs_0000010631|obs_0000003383|obs_0000004167|obs_0000004594|obs_0000005021,obs_0000005899
Frischkäse oder -zubereitung,Philadelphia,"€ 0,88",,"pro Einheit = 0,88",verschiedene Sorten und Fettstufen Je nach Verfügbarkeit des Marktes.,Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/philadelphia-frischk-se-oder-zubereitung.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_kaese,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed",,,ref_000028,obs_0000005141|obs_0000005535|obs_0000006114|obs_0000006445|obs_0000007150|obs_0000007331|obs_0000028125|obs_0000005716|obs_0000006799|obs_0000002951|obs_0000003481|obs_0000012663|obs_0000014954|obs_0000024882|obs_0000000519|obs_0000016946|obs_0000025259|obs_0000017482|obs_0000017513|obs_0000009596|obs_0000017894|obs_0000018043|obs_0000010048|obs_0000026675|obs_0000018636|obs_0000018668|obs_0000019362|obs_0000027893|obs_0000019721|obs_0000028302|obs_0000020143|obs_0000020962|obs_0000022149|obs_0000022250|obs_0000022312|obs_0000022604|obs_0000023986|obs_0000024407,obs_0000008279|obs_0000011892|obs_0000005141|obs_0000013644|obs_0000006114|obs_0000007150|obs_0000007331|obs_0000015674
Joghurt mit der Ecke,müller,"€ 0,30",,"pro Einheit = 0,30",verschiedene Sorten,Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/m-ller-joghurt-mit-der-ecke.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,tag_ultra_processed",,,ref_000029,obs_0000008461|obs_0000014831|obs_0000023257|obs_0000023683|obs_0000023724|obs_0000031933|obs_0000015791|obs_0000011758|obs_0000026097|obs_0000024096|obs_0000024148|obs_0000000372|obs_0000004499|obs_0000004926|obs_0000004072|obs_0000005142|obs_0000028035|obs_0000032204|obs_0000030520|obs_0000001115|obs_0000027149|obs_0000026710|obs_0000020687|obs_0000020689|obs_0000028966|obs_0000023030|obs_0000008703|obs_0000025171|obs_0000017127|obs_0000023284|obs_0000025392|obs_0000033696|obs_0000009180|obs_0000021506|obs_0000021508|obs_0000025811|obs_0000015673|obs_0000019794|obs_0000009663|obs_0000034580,obs_0000008461|obs_0000014831|obs_0000023257|obs_0000005142|obs_0000023683|obs_0000023724|obs_0000031933|obs_0000028035|obs_0000015791|obs_0000032204|obs_0000011758|obs_0000026097|obs_0000024096|obs_0000024148|obs_0000030520
Rougette Mein Ofen- oder Grillkäse,Keine Marke,"€ 2,29",,"1 kg = 13,83","verschiedene Sorten und Fettstufen, 180 g Packung, (1 kg = 13,83 €)",Nein,Gültig vom 30.03.2026 bis zum 04.04.2026.,2026-03-30,2026-04-04,../images/edeka/rougette-mein-ofen-oder-grillk-se.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed",,,ref_000030,obs_0000008323|obs_0000014261,
