Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Ceralien,Nestlé,"€ 2,49","€ 3,79","pro Einheit = 12,45","pro Einheit = 12,45",versch. Sorten,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_105.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_ultra_processed",,BLS-S610000,ref_000105,,obs_0000010904|obs_0000019645|obs_0000013550|obs_0000028013|obs_0000026092,,x
Donut Pistazie,Keine Marke,"€ 0,79",,"pro Einheit = 0,79","pro Einheit = 0,79",Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_106.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000106,obs_0000005308|obs_0000006257,,,
Weißbrot,Keine Marke,"€ 1,29","€ 1,59","1 kg = 2,58","1 kg = 2,58",Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_108.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000108,obs_0000005495|obs_0000012361,obs_0000005495,,
Weizenmischbrot,Keine Marke,"€ 0,89","€ 0,99","1 kg = 1,78","1 kg = 1,78",Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_109.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",,BLS-B251000,ref_000109,obs_0000010691|obs_0000013959|obs_0000028107|obs_0000027951|obs_0000012848|obs_0000014993|obs_0000030255,obs_0000010691|obs_0000013959|obs_0000028107|obs_0000027951|obs_0000012848|obs_0000014993,,
Blaubeer Vanillestange,Keine Marke,"€ 0,99",,"pro Einheit = 0,99","pro Einheit = 0,99",,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_110.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",,,ref_000110,obs_0000027888,,,
Seele,Keine Marke,"€ 0,69","€ 0,79","pro Einheit = 0,69","pro Einheit = 0,69",Gilt nur in Filialen mit Backautomat!,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_111.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000111,,,,
Geflügelrolle,Keine Marke,"€ 1,50","€ 2,58","pro Einheit = 1,50","pro Einheit = 1,50",Gilt nur in Filialen mit Backautomat! Einzelpreis: 1.29,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_113.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_wurst,tag_ultra_processed,tag_whole_food",,BLS-V990100,ref_000113,obs_0000028109|obs_0000026958|obs_0000006256,obs_0000028109|obs_0000026958|obs_0000006256,,
Hähnchen-Minutensteaks,Keine Marke,"€ 3,99","€ 4,99","1 kg = 9,98","1 kg = 9,98",in Skyr-Style-Marinade,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_114.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_whole_food",,,ref_000114,obs_0000000511|obs_0000000647|obs_0000001076|obs_0000009481|obs_0000001311|obs_0000003641,,,
Schweine-Bauchscheiben,Keine Marke,"€ 3,33","€ 3,99","1 kg = 6,66","1 kg = 6,66",trocken gewürzt,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_115.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,tag_ultra_processed,tag_whole_food",,BLS-W411300,ref_000115,obs_0000027303,obs_0000027303,,
Puten-Minutensteaks,Keine Marke,"€ 4,29","€ 5,49","1 kg = 10,73","1 kg = 10,73",versch. mariniert,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_116.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_schwein",,,ref_000116,obs_0000000511|obs_0000001076|obs_0000003641|obs_0000000647|obs_0000009481|obs_0000001311,,,
Mini Rostbratwürstchen,Keine Marke,"€ 2,49","€ 2,79","1 kg = 8,30","1 kg = 8,30","grob, gebrüht",Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_117.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000117,obs_0000012328|obs_0000006379|obs_0000010932|obs_0000017530|obs_0000026024|obs_0000018128|obs_0000016216,,,
Emmentaler Käse-Bockwurst,Keine Marke,"€ 2,49","€ 2,99","1 kg = 6,23","1 kg = 6,23",,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_118.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000118,obs_0000001559|obs_0000026650|obs_0000018426|obs_0000018479|obs_0000031831|obs_0000031880|obs_0000008883|obs_0000022237|obs_0000002340|obs_0000010030|obs_0000013111|obs_0000006457|obs_0000003417|obs_0000009063|obs_0000027507|obs_0000010631|obs_0000025531|obs_0000008163|obs_0000011754|obs_0000014323|obs_0000022007,,,
Bruzzzler,Wiesenhof,"€ 3,79","€ 4,99","1 kg = 9,48","1 kg = 9,48",würzig,Nein,"Wochenangebote gültig von Montag, 13.04.26 - Samstag, 18.04.26",13.04.26,18.04.26,../images/netto/netto_offer_119.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000119,,,x,
