Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Bio-Pollo-Fino,Bio-Pollo-Fino,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_059.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000059,obs_0000034327|obs_0000006348|obs_0000006700|obs_0000007441,obs_0000034327,,
Bio-Rindsbratwurst,Biokreis tegut,"€ 5,99",,"pro Einheit = 6,99","pro Einheit = 6,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_060.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,sub_wurst,tag_proteinreich,tag_ultra_processed,tag_whole_food",,,ref_000060,,,,
Lammkrone,Lammkrone,"€ 4,49",,"pro Einheit = 5,49","pro Einheit = 5,49",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_061.jpg,"cat_fleisch_wurst,diet_vegetarian,tag_ultra_processed",,,ref_000061,obs_0000034324|obs_0000033940,obs_0000034324|obs_0000033940,,
Roastbeef,Roastbeef,"€ 2,99",,"pro Einheit = 2,99","pro Einheit = 2,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_062.jpg,"cat_fleisch_wurst,sub_rind,tag_high_protein,tag_proteinreich",,BLS-U221100,ref_000062,obs_0000017571|obs_0000032493|obs_0000018768|obs_0000033731|obs_0000034953|obs_0000032491|obs_0000034129|obs_0000031768|obs_0000013852|obs_0000015774|obs_0000001637|obs_0000030216|obs_0000015351|obs_0000006535|obs_0000007642,obs_0000017571|obs_0000032493|obs_0000018768,,
Rinderbrust,LandPrimus,"€ 1,79",,"pro Einheit = 2,19","pro Einheit = 2,19",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_063.jpg,"cat_fleisch_wurst,sub_rind,tag_proteinreich,tag_ultra_processed",,BLS-Y144423,ref_000063,obs_0000031115|obs_0000006349|obs_0000029786|obs_0000007826|obs_0000034132|obs_0000008310,obs_0000031115|obs_0000006349|obs_0000029786,,
Iberisches Duroc Tomahawk-Steak,Iberisches Duroc Tomahawk-Steak,"€ 2,49",,"pro Einheit = 2,99","pro Einheit = 2,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_064.jpg,cat_fleisch_wurst,,,ref_000064,,obs_0000034929,,
Schweinekotelett,LandPrimus,"€ 1,29",,"pro Einheit = 1,79","pro Einheit = 1,79",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_065.jpg,"cat_fleisch_wurst,sub_schwein,tag_ultra_processed",,BLS-U622100,ref_000065,obs_0000006533|obs_0000005798|obs_0000011837|obs_0000009300|obs_0000009621|obs_0000006702|obs_0000005433,obs_0000006533|obs_0000005798|obs_0000011837|obs_0000009300,,
Bio-Hähnchenspieß,Bio-Hähnchenspieß,"€ 2,99",,"pro Einheit = 2,99","pro Einheit = 2,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_066.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_whole_food",,,ref_000066,,,,
Bio-Rindertafelspitz,Bio-Rindertafelspitz,"€ 2,99",,"pro Einheit = 2,99","pro Einheit = 2,99",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_067.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_rind,tag_proteinreich,tag_whole_food",,,ref_000067,obs_0000034328|obs_0000014344,obs_0000034328,,
Bio-Hackfleisch gemischt,Bio-Hackfleisch gemischt,"€ 1,79",,"pro Einheit = 1,79","pro Einheit = 1,79",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_068.jpg,"cat_fleisch_wurst,sub_hackfleisch,sub_rind,sub_schwein,tag_high_protein,tag_proteinreich",,,ref_000068,obs_0000000505|obs_0000001646|obs_0000009524|obs_0000010463|obs_0000028433|obs_0000029566|obs_0000030969|obs_0000030975|obs_0000016944|obs_0000008856|obs_0000017204|obs_0000009222|obs_0000009248|obs_0000025678|obs_0000033883|obs_0000009575|obs_0000009702|obs_0000018085|obs_0000034536|obs_0000026963|obs_0000027617|obs_0000027808|obs_0000011430|obs_0000028033|obs_0000020307|obs_0000012282|obs_0000021126|obs_0000029783|obs_0000029892|obs_0000030174|obs_0000005620|obs_0000030269|obs_0000005797|obs_0000022287|obs_0000014463|obs_0000030894|obs_0000030922|obs_0000006355|obs_0000030962|obs_0000006874|obs_0000031538|obs_0000031582|obs_0000007077|obs_0000017754|obs_0000018612|obs_0000019652|obs_0000019685|obs_0000012768|obs_0000014917|obs_0000000646,obs_0000000505|obs_0000016944|obs_0000008856|obs_0000017204|obs_0000009222|obs_0000009248|obs_0000025678|obs_0000033883|obs_0000009524|obs_0000009575|obs_0000009702|obs_0000001646|obs_0000018085|obs_0000034536|obs_0000010463|obs_0000011430|obs_0000028033|obs_0000028433|obs_0000020307|obs_0000012282|obs_0000012768|obs_0000021126|obs_0000029566|obs_0000029783|obs_0000029892|obs_0000030174|obs_0000005620|obs_0000030269|obs_0000005797|obs_0000022287|obs_0000014463|obs_0000030894|obs_0000030922|obs_0000006355|obs_0000030962|obs_0000030975|obs_0000014917|obs_0000006874|obs_0000031538|obs_0000031582|obs_0000007077,,
Original Kokoswasser,Vita Coco,"€ 1,79",,"1 l = 5,42","1 l = 5,42",,Nein,Gültig bis 25.04,2026-04-20,2026-04-25,../images/tegut/tegut_offer_069.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000069,obs_0000033740|obs_0000034339|obs_0000028730|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000033975|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000009987|obs_0000028429|obs_0000034575|obs_0000016167|obs_0000020298|obs_0000028516|obs_0000010117|obs_0000014249|obs_0000028630,,,
