Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Doppelschlitz-Toaster,KRUPS,"€ 42,99",,"pro Einheit = 42,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_244.jpg,"cat_non_food,tag_ultra_processed",,,ref_000240,obs_0000017676|obs_0000018134|obs_0000023134|obs_0000023565|obs_0000017566|obs_0000021535|obs_0000018855|obs_0000012908|obs_0000020716|obs_0000022382|obs_0000002036|obs_0000016617,obs_0000017676|obs_0000018134|obs_0000023134|obs_0000011635
Sandwichmaker mit Wechselplatten,Silvercrest,"€ 17,99",,"pro Einheit = 17,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_245.jpg,"cat_non_food,sub_milchprodukte",,,ref_000241,,
Spülbeckenseiher,SILVERCREST,"€ 4,99",,"pro Einheit = 7,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_246.jpg,cat_non_food,,,ref_000242,obs_0000023126,
Wasserkocher,SILVERCREST,"€ 12,99",,"pro Einheit = 19,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_247.jpg,cat_non_food,,,ref_000243,obs_0000024753|obs_0000020919|obs_0000023130|obs_0000022100|obs_0000020100|obs_0000018299|obs_0000018438|obs_0000035121|obs_0000018696|obs_0000000766|obs_0000033542|obs_0000023568|obs_0000017568|obs_0000022403|obs_0000001934|obs_0000015141|obs_0000027448|obs_0000033852|obs_0000015545|obs_0000026245|obs_0000017690|obs_0000016195|obs_0000016526|obs_0000012933|obs_0000011202|obs_0000009389|obs_0000009850|obs_0000013949|obs_0000013950|obs_0000008567,obs_0000018438|obs_0000035121|obs_0000024753|obs_0000018696|obs_0000020919|obs_0000023130|obs_0000000766|obs_0000033542|obs_0000023568|obs_0000017568|obs_0000022100|obs_0000020100|obs_0000018299|obs_0000022403|obs_0000001934
Vorratsdosen-Set,SILVERCREST,"€ 7,99",,"pro Einheit = 7,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_248.jpg,cat_non_food,,,ref_000244,obs_0000024736|obs_0000010269|obs_0000023106|obs_0000019360|obs_0000019592|obs_0000033524|obs_0000012602,obs_0000010269|obs_0000024736|obs_0000023106|obs_0000019360|obs_0000019592
Espresso Siebträger-Maschine,DeLonghi,"€ 89,99",,"pro Einheit = 119,90",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_249.jpg,cat_non_food,,,ref_000245,obs_0000025376|obs_0000019616,
2 Ersatzflaschen,Sodastream,"€ 14,99",,"pro Einheit = 32,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_250.jpg,"cat_non_food,tag_ultra_processed",,,ref_000246,obs_0000019726|obs_0000018834|obs_0000017606,obs_0000019726|obs_0000018834|obs_0000017606
Doppelkammmer-Heißluftfritteuse,MASTERPRO,"€ 49,99",,"pro Einheit = 169,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_251.jpg,"cat_non_food,tag_ultra_processed",,,ref_000247,obs_0000000770|obs_0000016517|obs_0000008842|obs_0000025870|obs_0000023705|obs_0000005018|obs_0000001565|obs_0000022702|obs_0000022718|obs_0000024128|obs_0000002370|obs_0000004164|obs_0000018130|obs_0000026718|obs_0000018919|obs_0000003182|obs_0000004591|obs_0000023536,obs_0000026388
Heißluftfritteusen-Silikonform,SILVERCREST,"€ 1,99",,"pro Einheit = 2,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_252.jpg,cat_non_food,,,ref_000248,obs_0000019551|obs_0000023554,obs_0000019551
Wassersprudler Modell CRYSTAL 3 0,SodaStream,"€ 69,99",,"pro Einheit = 189,90",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_253.jpg,cat_non_food,,,ref_000249,obs_0000011697|obs_0000018667,obs_0000011697|obs_0000018667
Kaffeevollautomat,Philips,"€ 222,00",,"pro Einheit = 379,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_254.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000250,obs_0000023135|obs_0000025871|obs_0000024745|obs_0000024382|obs_0000023960|obs_0000023535|obs_0000016006|obs_0000025484|obs_0000010214|obs_0000019255|obs_0000021939|obs_0000018393|obs_0000019514|obs_0000018057|obs_0000025282|obs_0000016919|obs_0000017940|obs_0000021592|obs_0000022701|obs_0000021795|obs_0000020773|obs_0000017834|obs_0000020589|obs_0000025262|obs_0000010546|obs_0000015160|obs_0000021408|obs_0000017821,obs_0000023135|obs_0000024745|obs_0000025871|obs_0000024382|obs_0000023960|obs_0000023535
Akku-Staubsauger,AEG,"€ 119,00",,"pro Einheit = 399,95",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,,cat_non_food,,,ref_000251,obs_0000016915|obs_0000023562|obs_0000026719|obs_0000022692|obs_0000023543|obs_0000028195|obs_0000012914|obs_0000008482|obs_0000001373|obs_0000011185|obs_0000017223|obs_0000016811,obs_0000023562|obs_0000016915|obs_0000000082|obs_0000026719|obs_0000022692
Dampfbügelstation,Philips,"€ 69,99",,"pro Einheit = 249,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_256.jpg,"cat_non_food,tag_ultra_processed",,,ref_000252,obs_0000022543|obs_0000023544|obs_0000019246|obs_0000017597|obs_0000018702|obs_0000013147|obs_0000014697|obs_0000016506|obs_0000018650|obs_0000022545|obs_0000021510|obs_0000020691|obs_0000021717|obs_0000019438,obs_0000022543|obs_0000023544
Saug- und Wischroboter,ECOVACS,"€ 189,00",,"pro Einheit = 399,00",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_257.jpg,cat_non_food,,,ref_000253,obs_0000016504|obs_0000017590|obs_0000018690|obs_0000018701|obs_0000017374|obs_0000022538|obs_0000018250|obs_0000025759|obs_0000023541,obs_0000022538|obs_0000016504|obs_0000017590|obs_0000018690|obs_0000018701|obs_0000017374
Computer-Nähmaschine,Singer,"€ 169,00",,"pro Einheit = 369,00",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_258.jpg,cat_non_food,,,ref_000254,obs_0000023542|obs_0000025756|obs_0000022933|obs_0000023476,obs_0000023542|obs_0000025756
Teppich- und Polsterreinigungsgerät,Bissell,"€ 79,99",,"pro Einheit = 129,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_259.jpg,cat_non_food,,,ref_000255,obs_0000022547|obs_0000016503|obs_0000019663|obs_0000018755|obs_0000017809|obs_0000001576|obs_0000000131|obs_0000021630|obs_0000022666|obs_0000024316|obs_0000020811|obs_0000023892|obs_0000025040,obs_0000022547|obs_0000016503|obs_0000019663|obs_0000018755|obs_0000017809
Nass- und Trockenreiniger,Bissell,"€ 159,00",,"pro Einheit = 349,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_260.jpg,cat_drogerie,,,ref_000256,obs_0000022544,obs_0000022544
Zitruspresse,Braun,"€ 19,99",,"pro Einheit = 19,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_261.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000257,obs_0000033319|obs_0000025706,obs_0000033319|obs_0000025706
Kapsel Kaffeemaschine,Nescafe Dolce Gusto,"€ 49,99",,"pro Einheit = 139,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/lidl/lidl_offer_262.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000258,obs_0000018694|obs_0000017426|obs_0000023958|obs_0000024747|obs_0000024383|obs_0000023532|obs_0000023539,
