Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Premium Trüffelpralinen Mit Alkohol,Moser Roth,"€ 3,99",,"1 kg = 19,95","1 kg = 19,95",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_165.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed",,,ref_000165,obs_0000011595|obs_0000013830,,,
D lice-Pralinen Sommer Vollmilch,Moser Roth,"€ 2,49",,"1 kg = 17,79","1 kg = 17,79",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_166.jpg,"cat_knabbern_naschen,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed",,,ref_000166,obs_0000004664|obs_0000001090|obs_0000004237|obs_0000002218|obs_0000002854|obs_0000005091|obs_0000000492|obs_0000001050|obs_0000031903|obs_0000026095,,,
Bio-Bergbauern-Weichkäse Mild-Cremig,Nur Nur Natur,"€ 3,69",,"1 kg = 18,45","1 kg = 18,45",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_167.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_kaese,sub_milchprodukte",,,ref_000167,obs_0000004765|obs_0000004338|obs_0000000273|obs_0000003911|obs_0000003512|obs_0000010262|obs_0000018456|obs_0000028718|obs_0000009810|obs_0000017509|obs_0000009341|obs_0000023373|obs_0000028005|obs_0000022418|obs_0000023007|obs_0000012800,,,
Bio-Roggenvollkorn-Sauerteigbrot,Nur Nur Natur,"€ 2,19",,"1 kg = 4,38","1 kg = 4,38",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_168.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000168,,,,
Bio-Haferflocken,Nur Nur Natur,"€ 0,95",,"1 kg = 1,90","1 kg = 1,90",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_169.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000169,obs_0000000485|obs_0000000837|obs_0000003776|obs_0000004225|obs_0000004652|obs_0000005079|obs_0000027529|obs_0000028738|obs_0000029245|obs_0000029967|obs_0000030935|obs_0000026414|obs_0000002471|obs_0000010710|obs_0000002858|obs_0000011097|obs_0000002998|obs_0000003476|obs_0000013032|obs_0000015658|obs_0000015879|obs_0000008132,obs_0000000485|obs_0000000837|obs_0000027529|obs_0000003776|obs_0000004225|obs_0000004652|obs_0000005079,,
Bio-Dinkelmehl Vollkorn,Nur Nur Natur,"€ 1,25",,"pro Einheit = 1,25","pro Einheit = 1,25",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_170.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000170,obs_0000001693|obs_0000000832|obs_0000011538|obs_0000000835|obs_0000001825|obs_0000026549,,,
Bio-Steinofen-Sauerteigkruste,Bio-Steinofen-Sauerteigkruste,"€ 1,99",,"1 kg = 3,32","1 kg = 3,32",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_171.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegetarian",,,ref_000171,obs_0000001690|obs_0000003587|obs_0000029239,obs_0000001690,,
Bio-Sauerteig-Vollkorn-Krusti,Bio-Sauerteig-Vollkorn-Krusti,"€ 0,49",,"pro Einheit = 0,49","pro Einheit = 0,49",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_172.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000172,obs_0000000835,,,
Bio-Joghurt mild Pfirsich-Maracuja,Bio-Joghurt mild Pfirsich-Maracuja,"€ 0,89",,"1 kg = 3,56","1 kg = 3,56",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_173.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000173,obs_0000000620|obs_0000001980|obs_0000021558|obs_0000030867|obs_0000033980|obs_0000030973|obs_0000020739|obs_0000000833|obs_0000016386|obs_0000004657|obs_0000004230|obs_0000000671|obs_0000011458|obs_0000003781|obs_0000017128|obs_0000002441|obs_0000015790|obs_0000002511|obs_0000027610|obs_0000005084|obs_0000000488|obs_0000023026|obs_0000021506|obs_0000021508|obs_0000025171|obs_0000026710|obs_0000020687|obs_0000020689|obs_0000025811|obs_0000017127|obs_0000023284|obs_0000034580|obs_0000028966|obs_0000025392|obs_0000015673|obs_0000019794|obs_0000033696|obs_0000009663|obs_0000009180|obs_0000023030|obs_0000008703,,,
Bio-Frischmilch,Nur Nur Natur,"€ 1,45",,"pro Einheit = 1,45","pro Einheit = 1,45",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_174.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_milchprodukte",,,ref_000174,obs_0000000487|obs_0000000839|obs_0000003784|obs_0000004227|obs_0000004654|obs_0000005081,obs_0000000487|obs_0000000839|obs_0000003784|obs_0000004227|obs_0000004654|obs_0000005081,,
Bio-Naturjoghurt,Nur Nur Natur,"€ 0,99",,"1 kg = 2,48","1 kg = 2,48",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_175.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte",,,ref_000175,obs_0000000339|obs_0000004014|obs_0000004441|obs_0000004868|obs_0000000831|obs_0000000898|obs_0000026563|obs_0000000260|obs_0000001182|obs_0000002719|obs_0000003889|obs_0000004316|obs_0000004743|obs_0000005345|obs_0000022886|obs_0000007153|obs_0000031862,obs_0000000339|obs_0000000488|obs_0000000831|obs_0000000898|obs_0000026563|obs_0000003781|obs_0000004014|obs_0000004230|obs_0000004441|obs_0000004657|obs_0000004868|obs_0000005084,,
Bio-Eiscreme Vanille,Nur Nur Natur,"€ 3,49",,"pro Einheit = 6,98","pro Einheit = 6,98",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_176.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",,,ref_000176,obs_0000010151|obs_0000008291|obs_0000008734|obs_0000010899|obs_0000012668|obs_0000013609|obs_0000014210|obs_0000014505,,,
Bio-Dinkel-Steinofenpizza Margherita,Nur Nur Natur,"€ 2,99",,"1 kg = 949,00","1 kg = 949,00",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_177.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed,tag_whole_food",,,ref_000177,obs_0000003588|obs_0000000627|obs_0000024681|obs_0000025448|obs_0000017368|obs_0000017577|obs_0000018848|obs_0000020340|obs_0000021159|obs_0000008064|obs_0000016325,obs_0000003588,,
Bio-Tempeh,Nur Nur Natur,"€ 2,99",,"1 kg = 14,95","1 kg = 14,95",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_178.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_milchprodukte,tag_whole_food",,,ref_000178,obs_0000012343|obs_0000000828,obs_0000012343,,
Rhein,Rhein,"€ 879,00",,"pro Einheit = 879,00","pro Einheit = 879,00",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_179.jpg,"cat_grundnahrung,diet_vegetarian",,BLS-T102100,ref_000179,,,,
Donau Vier Länder auf einer Reise,Donau Vier Länder auf einer Reise,"€ 599,00",,"pro Einheit = 599,00","pro Einheit = 599,00",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_180.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000180,,,,
Maritime T-Shirt,Maritime T-Shirt,"€ 2,49",,"pro Einheit = 2,49","pro Einheit = 2,49",,Nein,Gültig bis 18.04,2026-04-13,2026-04-18,../images/aldi/aldi_offer_182.jpg,"cat_non_food,diet_vegetarian,tag_ultra_processed",,,ref_000182,obs_0000023573|obs_0000023324|obs_0000023466|obs_0000000968|obs_0000001225|obs_0000000755,,,
