Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Hähnchenschenkel,Keine Marke,"€ 0,49",,"1 kg = 5,90","1 kg = 5,90","natur, mit Rückenstück, Hkl. A auch in gewürzt erhältlich, 100 g = 0,59 €, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/h-hnchenschenkel.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_gefluegel,tag_proteinreich,tag_whole_food",,BLS-Y599012,ref_000075,obs_0000006537|obs_0000004368|obs_0000000293|obs_0000004795|obs_0000034752|obs_0000027468|obs_0000007635|obs_0000031837|obs_0000003941|obs_0000026472|obs_0000034924|obs_0000002568|obs_0000033703|obs_0000023723|obs_0000029510|obs_0000024146|obs_0000003414|obs_0000024668|obs_0000031455|obs_0000031860|obs_0000030462|obs_0000018432|obs_0000025789,obs_0000006537|obs_0000004368|obs_0000000293|obs_0000004795|obs_0000034752|obs_0000027468|obs_0000007635|obs_0000031837|obs_0000003941|obs_0000026472,,
Pfeffer- oder Paprikabeißer,Keine Marke,"€ 1,39",,"1 kg = 13,90","1 kg = 13,90","knackig, mild geräuchert, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/pfeffer-oder-paprikabei-er.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",,,ref_000076,obs_0000007227|obs_0000005233,obs_0000007227|obs_0000005233,,
Fleischkäse,Keine Marke,"€ 0,99",,"1 kg = 9,90","1 kg = 9,90","fein zerkleinert, ofengebacken, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/fleischk-se.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kaese,sub_milchprodukte,tag_ultra_processed,tag_whole_food",,BLS-W244000,ref_000077,obs_0000007220|obs_0000015365|obs_0000011864|obs_0000031583|obs_0000033734|obs_0000034341|obs_0000034760|obs_0000034938|obs_0000034554|obs_0000033949|obs_0000034142|obs_0000015267|obs_0000016100|obs_0000013100,obs_0000007220,,
Rot- oder Weißgelegter,Keine Marke,"€ 1,29",,"1 kg = 12,90","1 kg = 12,90","nach überlieferter Rezeptur, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/rot-oder-wei-gelegter.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",,,ref_000078,obs_0000005606|obs_0000006340|obs_0000006854,obs_0000005606|obs_0000006340|obs_0000006854,,
Zwiebelmettwurst Vesperwürstchen,Keine Marke,"€ 1,39",,"1 kg = 13,90","1 kg = 13,90","herzhaft deftig, mit kräftiger Zwiebelnote, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/zwiebelmettwurst-vesperw-rstchen.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000079,obs_0000005422|obs_0000006336|obs_0000011868,obs_0000005422|obs_0000006336,,
Geflügelsalami,Keine Marke,"€ 1,99",,"1 kg = 19,90","1 kg = 19,90","natur, mit Käse- oder Pfeffermantel, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/gefl-gelsalami.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_gefluegel,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000080,obs_0000005412|obs_0000034795|obs_0000032526,obs_0000005412,,
Bauernschätze Putenleberkäse,Keine Marke,"€ 1,19",,"pro Einheit = 1,19","pro Einheit = 1,19",100 g,Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/bauernsch-tze-putenleberk-se.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,sub_schwein,sub_wurst,tag_ultra_processed",,,ref_000081,obs_0000007614|obs_0000006523,obs_0000007614|obs_0000006523,,
Bauernschätze Fränkische Leberwurst im Ring,Keine Marke,"€ 1,39",,"pro Einheit = 1,39","pro Einheit = 1,39",100 g,Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/bauernsch-tze-fr-nkische-leberwurst-im-ring.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,,ref_000082,obs_0000006524|obs_0000005595|obs_0000003643|obs_0000014468|obs_0000024223|obs_0000011436|obs_0000023801|obs_0000013053|obs_0000026900|obs_0000028438|obs_0000026452|obs_0000028508|obs_0000010597|obs_0000012655|obs_0000013762|obs_0000028622|obs_0000026066|obs_0000031720|obs_0000019440,obs_0000006524,,
Imperial Virginia-Pfefferschinken,Keine Marke,"€ 2,49",,"1 kg = 24,90","1 kg = 24,90","geräuchert, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/imperial-virginia-pfefferschinken.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000083,obs_0000007625|obs_0000005962|obs_0000007053|obs_0000005411,obs_0000007625|obs_0000005962|obs_0000007053,,
Mendel Südtiroler Schinken,Keine Marke,"€ 1,69",,"1 kg = 16,90","1 kg = 16,90","gekocht, 100 g",Nein,Gültig vom 13.04.2026 bis zum 18.04.2026.,2026-04-13,2026-04-18,../images/edeka/mendel-s-dtiroler-schinken.jpg,"cat_fleisch_wurst,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_schwein,sub_wurst,tag_ultra_processed,tag_whole_food",,,ref_000084,obs_0000005960|obs_0000034378|obs_0000028387|obs_0000016624|obs_0000017657,obs_0000005960,,
