Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,source_market,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Kratztonne Lotta,ZooRoyal,"€ 39,99",,"pro Einheit = 39,99","pro Einheit = 39,99","ca. 40 x 75 x 40 cm Korpus umwickelt mit Seegras und Sisal mit drei Kuschelhöhlen, je 1-St.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_266.jpg,"cat_tiernahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000083,,,x,
D licieux Duos,Felix,"€ 2,49",,"1 kg = 3,11","1 kg = 3,11",je 800-g-Pckg.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_267.jpg,"cat_tiernahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000084,,,x,
Herren Shorts,adidas,"€ 11,99",,"pro Einheit = 11,99","pro Einheit = 11,99","Größen: M-XL, je 1-St.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_268.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000085,obs_0000025053|obs_0000030036|obs_0000000969|obs_0000023570|obs_0000001224,obs_0000025053,x,
Geranie oder REWE Beste Wahl Nelke Oscar,Keine Marke,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99","versch. Sorten und Farben, für Beet und Balkon, je 1-Topf",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_282.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000086,,,,
Staudenmix Gipfelstürmer,Keine Marke,"€ 6,99",,"pro Einheit = 6,99","pro Einheit = 6,99","versch. dekorative Sorten, im praktischen 6er Tray, je 1-Tray",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_281.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000087,,,,
Zauberglöckchen oder Lavendel,Keine Marke,"€ 2,29",,"pro Einheit = 2,29","pro Einheit = 2,29","für Beet und Balkon, je 1-Topf",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_280.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000088,,,,
Rosen,Keine Marke,"€ 3,79",,"pro Einheit = 3,79","pro Einheit = 3,79","versch. Farben, mit Floralife Schnittblumen­nahrung, je 1-Bund",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_279.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",bamberg,,BLS-G332100,ref_000089,obs_0000011400|obs_0000008095|obs_0000031904|obs_0000012707|obs_0000014890|obs_0000014126|obs_0000025007|obs_0000001204|obs_0000001208|obs_0000001210|obs_0000013372|obs_0000013374|obs_0000012738|obs_0000000078|obs_0000029391|obs_0000002257|obs_0000003313|obs_0000030373|obs_0000030376|obs_0000031836|obs_0000030046|obs_0000015988|obs_0000013373|obs_0000012733|obs_0000007737,,,
Tomatenpflanze,Keine Marke,"€ 0,89",,"pro Einheit = 0,89","pro Einheit = 0,89","versch. Sorten, für die eigene Ernte, je 1-Topf",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_278.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_whole_food",bamberg,,,ref_000090,,,,
LED Tischlampe,Vivess,"€ 8,99",,"pro Einheit = 8,99","pro Einheit = 8,99","Ø ca. 15 cm, Höhe ca. 21,7 cm wiederaufladbar inkl. USB-Ladekabel 3-stufig dimmbar ca. 90 lm, je 1-St.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_277.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000091,obs_0000030739,obs_0000030739,x,
Zahncreme,Blend a med,"€ 0,89",,"1 l = 11,87","1 l = 11,87","Classic oder Frisch, je 75-ml-Tube",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_251.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000092,obs_0000031348|obs_0000029055|obs_0000032773|obs_0000007111|obs_0000031055|obs_0000005488|obs_0000006397|obs_0000015114|obs_0000031914|obs_0000012467|obs_0000022872|obs_0000027360|obs_0000012899|obs_0000012024|obs_0000008315,obs_0000031348|obs_0000029055,x,
Herren Trikothose,adidas,"€ 17,99",,"pro Einheit = 17,99","pro Einheit = 17,99",je 1-St.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_276.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg,,,ref_000093,obs_0000030036,,x,
Damen oder Herren Badepantolette Aqua,adidas,"€ 18,99",,"pro Einheit = 18,99","pro Einheit = 18,99","Größen: 39-43 schwarz oder blau, je 1-Paar",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_274.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,,ref_000094,obs_0000030037|obs_0000030038,,x,
Damen oder Herren Sneakersocken,adidas,"€ 8,99",,"pro Einheit = 8,99","pro Einheit = 8,99","Größen: 37/39-43/46, je 1-Pckg.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_273.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,,ref_000095,obs_0000030037|obs_0000030038|obs_0000029753|obs_0000012564|obs_0000013011|obs_0000015235|obs_0000013894,obs_0000030037,x,
Damen oder Herren Sportsocken,adidas,"€ 9,99",,"pro Einheit = 9,99","pro Einheit = 9,99","Größen: 37/39-43/46, je 1-Pckg.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_272.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000096,obs_0000030038|obs_0000030037|obs_0000029753|obs_0000013703|obs_0000016076,obs_0000030038,x,
Herren Sweathose,adidas,"€ 29,99",,"pro Einheit = 29,99","pro Einheit = 29,99","Größen: M-XL, je 1-St.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_271.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg,,,ref_000097,obs_0000016566|obs_0000012609|obs_0000016714|obs_0000010856|obs_0000021119|obs_0000013025|obs_0000008971|obs_0000015193|obs_0000017453|obs_0000025647|obs_0000015619|obs_0000021859|obs_0000019813|obs_0000019916|obs_0000017972|obs_0000018021|obs_0000016047|obs_0000022246|obs_0000014079|obs_0000022289|obs_0000020300|obs_0000030036|obs_0000012149|obs_0000022660|obs_0000023037|obs_0000023484|obs_0000023494,obs_0000016566|obs_0000025455|obs_0000025647|obs_0000019813,x,
Herren Boxershorts,adidas,"€ 19,99",,"pro Einheit = 19,99","pro Einheit = 19,99","Größen: M-XXL, je 1-Pckg.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_270.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000098,obs_0000030036|obs_0000012566|obs_0000015180|obs_0000016053|obs_0000013691|obs_0000023495,obs_0000030036,x,
Herren T-Shirt,adidas,"€ 12,99",,"pro Einheit = 12,99","pro Einheit = 12,99","100% Baumwolle Größen: M-XL, je 1-St.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_269.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000099,obs_0000012620|obs_0000012700|obs_0000014797|obs_0000009161|obs_0000011260|obs_0000017457|obs_0000031856|obs_0000013704|obs_0000031708|obs_0000030035|obs_0000030036|obs_0000012150|obs_0000000755|obs_0000023324|obs_0000023466|obs_0000000968|obs_0000023573|obs_0000001225,,x,
Zinkjardiniere Florastyle,Keine Marke,"€ 7,99",,"pro Einheit = 7,99","pro Einheit = 7,99","mit Blüh- und Grünpflanze, je 1-Topf",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_275.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000100,,,,
Pflegende Reinigungstücher,bebe,"€ 1,99",,"pro Einheit = 1,99","pro Einheit = 1,99",je 25-St.-Pckg.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_250.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",bamberg,,,ref_000101,obs_0000031706|obs_0000012898|obs_0000033125|obs_0000014677|obs_0000011167,obs_0000031706,x,
Duschgel,Axe,"€ 2,22",,"1 l = 8,88","1 l = 8,88","Alaska, je 250-ml-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_249.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000102,obs_0000005856|obs_0000006943|obs_0000011788|obs_0000017459|obs_0000015972|obs_0000031850|obs_0000008329|obs_0000015523|obs_0000026290|obs_0000031924|obs_0000026347|obs_0000028939|obs_0000035065|obs_0000013602|obs_0000028963|obs_0000014682|obs_0000009054|obs_0000011624|obs_0000013165|obs_0000026494|obs_0000011174,obs_0000017459|obs_0000005856|obs_0000006943|obs_0000009054,x,
Duschgel,Duschdas,"€ 0,99",,"1 l = 4,40","1 l = 4,40","versch. Sorten, je 225-ml-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_248.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000103,obs_0000032036|obs_0000007920|obs_0000008329|obs_0000028939|obs_0000011788|obs_0000035065|obs_0000013602|obs_0000015523|obs_0000011174|obs_0000026290|obs_0000017459|obs_0000028963|obs_0000031924|obs_0000014682|obs_0000009054|obs_0000015972|obs_0000011624|obs_0000026347|obs_0000031850|obs_0000013165|obs_0000026494,obs_0000011788|obs_0000032036|obs_0000005670|obs_0000031924|obs_0000015972|obs_0000007920|obs_0000026494,x,
Limoncello Spritz oder Bellini Pfirsich No 1323,Keine Marke,"€ 2,99",,"1 l = 3,99","1 l = 3,99","weinhaltiger Cocktail, je 0,75-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_229.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000104,obs_0000016150|obs_0000019758|obs_0000011572|obs_0000011575,,,
Goldkrone,Wilthener,"€ 4,69",,"1 l = 6,70","1 l = 6,70","28% Vol., je 0,7-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_228.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000105,obs_0000030251,obs_0000030251,x,
Lamberti,Lamberti,"€ 3,99",,"1 l = 5,32","1 l = 5,32","trocken, je 0,75-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_227.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000106,obs_0000032751,,x,
Southern Comfort Whiskey Liqueur,Keine Marke,"€ 8,99",,"1 l = 12,84","1 l = 12,84","35% Vol., je 0,7-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_226.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000107,obs_0000014635,obs_0000011579,,
Finlandia Vodka,Keine Marke,"€ 12,99",,"1 l = 18,56","1 l = 18,56","40% Vol., je 0,7-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_225.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000108,obs_0000035049|obs_0000008713|obs_0000020363|obs_0000012175|obs_0000012431|obs_0000009883|obs_0000034845|obs_0000013474|obs_0000019368|obs_0000015665|obs_0000021182|obs_0000009791|obs_0000028354|obs_0000008904|obs_0000009420|obs_0000002903|obs_0000024028|obs_0000026846|obs_0000009320|obs_0000022378|obs_0000034034|obs_0000011132|obs_0000024448,,,
Sekt oder Light Live alkoholfrei,Faber,"€ 2,79",,"1 l = 3,72","1 l = 3,72","je 0,75-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_224.jpg,"cat_getraenke,diet_lactose_free",bamberg,,,ref_000109,obs_0000029432|obs_0000032754|obs_0000005263|obs_0000028182|obs_0000001809|obs_0000000863|obs_0000011150|obs_0000034225,obs_0000029432|obs_0000032754,x,
Nederburg,Keine Marke,"€ 3,99",,"1 l = 5,32","1 l = 5,32","trocken, je 0,75-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_230.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000110,obs_0000007254,,,
Black Label Blended Scotch Whisky,Johnnie Walker,"€ 19,99",,"1 l = 28,56","1 l = 28,56","40% Vol., je 0,7-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_223.jpg,cat_getraenke,bamberg,,,ref_000111,obs_0000029774|obs_0000032263|obs_0000006715|obs_0000019341|obs_0000025014|obs_0000008414|obs_0000016700|obs_0000019797|obs_0000028137|obs_0000018945|obs_0000009375|obs_0000015920|obs_0000011578|obs_0000027198|obs_0000009835|obs_0000011307|obs_0000013108,obs_0000018945|obs_0000032263|obs_0000019341|obs_0000009375|obs_0000015920|obs_0000025014|obs_0000011578|obs_0000006715|obs_0000016700|obs_0000027198|obs_0000019797|obs_0000008414|obs_0000009835,x,
Wodka Original,Gorbatschow,"€ 6,49",,"1 l = 9,27","1 l = 9,27","37,5% Vol., je 0,7-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_221.jpg,"cat_getraenke,tag_high_protein,tag_ultra_processed",bamberg,,,ref_000112,obs_0000031413|obs_0000015076|obs_0000011767|obs_0000013965|obs_0000034639|obs_0000032026|obs_0000030405|obs_0000028730|obs_0000020611|obs_0000012423|obs_0000006283|obs_0000026772|obs_0000026832|obs_0000028896|obs_0000035052|obs_0000027005|obs_0000027048|obs_0000021000|obs_0000008777|obs_0000021117|obs_0000008906|obs_0000015051|obs_0000021430|obs_0000025547|obs_0000033763|obs_0000017384|obs_0000013325|obs_0000019505|obs_0000031800|obs_0000025705|obs_0000009334|obs_0000015502|obs_0000027791|obs_0000033975|obs_0000021758|obs_0000009525|obs_0000021868|obs_0000017799|obs_0000026035|obs_0000022184|obs_0000020181|obs_0000034561|obs_0000009987|obs_0000028429|obs_0000034575|obs_0000016167|obs_0000020298|obs_0000028516|obs_0000010117|obs_0000014249,obs_0000028940|obs_0000031413|obs_0000032026|obs_0000020001|obs_0000030405|obs_0000010156,,
Beck s,BECK S,"€ 3,99",,"1 l = 2,02","1 l = 2,02","versch. Sorten, je 6 x 0,33-l-Fl.-Sixpack, zzgl. 0,48 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_220.jpg,cat_getraenke,bamberg,,,ref_000113,obs_0000007886|obs_0000032738|obs_0000029071|obs_0000031390|obs_0000032443|obs_0000005830|obs_0000032728|obs_0000032269|obs_0000031091,obs_0000007886|obs_0000032738,,
Elephant Premium Beer,Carlsberg,"€ 0,99",,"1 l = 1,98","1 l = 1,98","je 0,5-l-Dose, zzgl. 0,25 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_219.jpg,"cat_getraenke,diet_gluten_free,diet_vegetarian",bamberg,,,ref_000114,obs_0000031558|obs_0000032736|obs_0000031791|obs_0000031749|obs_0000028724|obs_0000006905|obs_0000034221|obs_0000013830|obs_0000029256|obs_0000011595,obs_0000031791|obs_0000031558|obs_0000032736,x,
Premium Beer,Heineken,"€ 15,99",,"1 l = 2,00","1 l = 2,00","je 20 x 0,4 / 28 x 0,25-l-Fl.-Kasten, zzgl. 3,10 € / 3,74 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_218.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_whole_food",bamberg,,,ref_000115,obs_0000031398|obs_0000030397|obs_0000032725|obs_0000031749|obs_0000028724|obs_0000029762|obs_0000032131|obs_0000013349|obs_0000031791|obs_0000015667|obs_0000013830|obs_0000011595,obs_0000031749|obs_0000028724|obs_0000031398|obs_0000030397|obs_0000032725,x,
Neumarkter Lammsbräu,Neumarkter Lammsbräu,"€ 9,49",,"1 l = 2,88","1 l = 2,88","versch. Sorten, je 10 x 0,33-l-Fl.-Kasten, zzgl. 2,30 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_217.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000116,,,x,
Pils,Warsteiner,"€ 10,99",,"1 l = 1,10","1 l = 1,10","je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_216.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000117,obs_0000031397|obs_0000029986|obs_0000029072|obs_0000010755|obs_0000013338|obs_0000033823|obs_0000026170|obs_0000015941|obs_0000012871|obs_0000028759|obs_0000024176|obs_0000028275|obs_0000034423|obs_0000012448|obs_0000027329|obs_0000016578|obs_0000019656|obs_0000023756|obs_0000028878|obs_0000035035|obs_0000028408|obs_0000028937|obs_0000008467|obs_0000027944|obs_0000004922|obs_0000028500|obs_0000017247|obs_0000000370|obs_0000014202|obs_0000010120|obs_0000004495|obs_0000034708|obs_0000010165|obs_0000028614|obs_0000026062|obs_0000031695|obs_0000003041|obs_0000004068|obs_0000013819|obs_0000031740,obs_0000031397|obs_0000028937|obs_0000029986|obs_0000027944|obs_0000029072,x,
Jules Mumm Sekt,Keine Marke,"€ 3,99",,"1 l = 5,32","1 l = 5,32","versch. Sorten, je 0,75-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_222.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000118,obs_0000032294|obs_0000030758|obs_0000006713|obs_0000011802|obs_0000017436|obs_0000018465|obs_0000017456|obs_0000003634|obs_0000013889|obs_0000019009|obs_0000031833|obs_0000019561|obs_0000018037|obs_0000028281|obs_0000000122|obs_0000012437|obs_0000010911|obs_0000026289|obs_0000023255|obs_0000027358|obs_0000018687|obs_0000016680|obs_0000015666|obs_0000014644|obs_0000024889|obs_0000026425|obs_0000011590|obs_0000015699|obs_0000027487|obs_0000008047|obs_0000012694|obs_0000002457|obs_0000022430|obs_0000025002|obs_0000001461|obs_0000026048,obs_0000018465|obs_0000032294|obs_0000030758|obs_0000006713|obs_0000013889|obs_0000019009|obs_0000014644|obs_0000022430,,
Zirndorfer Bier,Keine Marke,"€ 11,99",,"1 l = 1,20","1 l = 1,20","versch. Sorten, je 20 x 0,5-l-Fl.-Kasten, zzgl. 3,10 € Pfand",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_214.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000119,obs_0000029987|obs_0000029044|obs_0000028805|obs_0000009359|obs_0000023315|obs_0000009768|obs_0000026797|obs_0000009403|obs_0000027326|obs_0000028602|obs_0000028492|obs_0000031827|obs_0000031616|obs_0000009190|obs_0000014056|obs_0000028288,obs_0000029987|obs_0000028602|obs_0000028492|obs_0000029044,,
Cavit Mastri Vernacoli,Keine Marke,"€ 4,99",,"1 l = 6,65","1 l = 6,65","versch. Sorten, trocken, je 0,75-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_231.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000120,obs_0000030420|obs_0000032752,obs_0000030420,,
Contessa Marina 14 IGT,Keine Marke,"€ 4,99",,"1 l = 6,65","1 l = 6,65","trocken, je 0,75-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_233.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000121,,,,
Oxi Action Pulver,Vanish,"€ 4,79",,"1 kg = 8,71","1 kg = 8,71","versch. Sorten, je 550-g-Dose",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_247.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegetarian,tag_ultra_processed",bamberg,,,ref_000122,obs_0000028194|obs_0000028396|obs_0000016131|obs_0000009392|obs_0000009854,obs_0000028396,x,
Haarspray,Syoss,"€ 4,49",,"1 l = 11,23","1 l = 11,23","versch. Sorten, je 400-ml-Dose",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_246.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000123,obs_0000033159|obs_0000016136|obs_0000033415|obs_0000032915|obs_0000015099|obs_0000032987|obs_0000011611|obs_0000033144,obs_0000033159|obs_0000016136|obs_0000015099|obs_0000032987|obs_0000011611,x,
Zahncreme,Sensodyne,"€ 3,49",,"1 l = 46,53","1 l = 46,53","Multicare und ProSchmelz, je 75-ml-Tuben-Pckg.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_245.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000124,obs_0000030353|obs_0000006945|obs_0000006052|obs_0000015114|obs_0000031914|obs_0000012467|obs_0000022872|obs_0000027360|obs_0000012899|obs_0000008315|obs_0000012024|obs_0000032456,obs_0000015114|obs_0000030353|obs_0000012024,x,
Color,Coral,"€ 3,99",,"pro Einheit = 0,15","pro Einheit = 0,15",je 26-WL-Fl.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_244.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000125,obs_0000031058,obs_0000031058,x,
Bodyspray,Axe,"€ 3,49",,"1 l = 23,27","1 l = 23,27","Alaska, je 150-ml-Dose",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_243.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food",bamberg,,,ref_000126,obs_0000032039|obs_0000007923|obs_0000006389|obs_0000006944|obs_0000005855|obs_0000028961|obs_0000034660|obs_0000032873|obs_0000026738,obs_0000028961|obs_0000034660|obs_0000032039|obs_0000032873|obs_0000026738|obs_0000007923,x,
Color Gel,Spee,"€ 3,49",,"pro Einheit = 0,17","pro Einheit = 0,17",je 20-WL-Fl.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_242.jpg,"cat_drogerie,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,tag_ultra_processed,tag_whole_food",bamberg,,,ref_000127,obs_0000031071|obs_0000029738|obs_0000030354,obs_0000031071,x,
Weinfreunde Piwi Cabernet Blanc Qualitätswein,Keine Marke,"€ 3,49",,"1 l = 4,65","1 l = 4,65","trocken, je 0,75-l-Fl.",Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_232.jpg,"cat_getraenke,diet_gluten_free",bamberg,,,ref_000128,obs_0000017927|obs_0000008721|obs_0000013843|obs_0000013356|obs_0000015923|obs_0000027290|obs_0000026271|obs_0000011986|obs_0000014641|obs_0000011138|obs_0000034222|obs_0000012225,,,
Colorwaschmittel Kraft-Gel,Persil,"€ 18,99",,"pro Einheit = 0,19","pro Einheit = 0,19",je 100-WL-Fl.,Nein,2026-04-13 bis 2026-04-19,2026-04-13,2026-04-19,../images/rewe/bamberg_offer_241.jpg,cat_drogerie,bamberg,,,ref_000129,obs_0000032273|obs_0000031362|obs_0000030074|obs_0000029050|obs_0000032138|obs_0000010247|obs_0000008736|obs_0000029738|obs_0000030354|obs_0000032919|obs_0000029574,obs_0000032273|obs_0000031362|obs_0000030074|obs_0000029050|obs_0000032138,,
