Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,RAW_Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids,brand_extracted,brand_normalized
Keine Marke,Blühpflanzen,"€ 2,49",,"pro Einheit = 2,49","pro Einheit = 2,49","z. B. Margerite, Chrysantheme, Nelke oder Petunie, versch. Farben, Topf Ø 10,5 - 12 cm, ab 1,69€",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_059.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000054,obs_0000010567|obs_0000010966|obs_0000014169|obs_0000014267|obs_0000014078,obs_0000010567|obs_0000010966|obs_0000014169|obs_0000014267|obs_0000014078,,
Keine Marke,Brasil peruan Mango lose,"€ 1,99","€ 2,49","pro Einheit = 1,99","pro Einheit = 1,99","»Kent« oder »Keitt«, Kl. I",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_046.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food",,,ref_000055,obs_0000011787|obs_0000013333|obs_0000013816|obs_0000010971|obs_0000015714|obs_0000014421|obs_0000015282|obs_0000029722|obs_0000024112|obs_0000009816|obs_0000031322|obs_0000026739|obs_0000009349|obs_0000028316|obs_0000027322|obs_0000029883|obs_0000004820|obs_0000021278|obs_0000004393|obs_0000000306|obs_0000026453|obs_0000003966|obs_0000033713|obs_0000034740|obs_0000016865|obs_0000020459|obs_0000025584,,,
SILVERCREST,Brat- und Auflaufform,"€ 7,99",,"pro Einheit = 7,99","pro Einheit = 7,99",Aus emailliertem Stahlblech Optimale Wärmeleitung für gleichmäßige Bräunung Mit extrahohem Rand Arretierungspunkte im Griffbereich Backofengeeignet bis 400 °C Spülmaschinengeeignet Größe ca. B 39 x H 7 x T 32 cm 3 Jahre Garantie,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_383.jpg,cat_non_food,,,ref_000056,obs_0000019390|obs_0000012983|obs_0000016018,,,
WERZ,Bratwurst-Mix,"€ 6,49",,"1 kg = 7,38","1 kg = 7,38","vom Schwein, 3 grobe Bratwürste, 4 Puszta-Griller und 4 Fränkische Bratwürste",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_077.jpg,"cat_fleisch_wurst,sub_wurst,tag_ultra_processed",,BLS-Y942032,ref_000057,obs_0000006701|obs_0000024700|obs_0000026247|obs_0000006539|obs_0000007634,,,
MY PROJECT,Bremsen-Reiniger,"€ 2,99",,"1 l = 7,48","1 l = 7,48","Für Trommel- und Scheibenbremsen Für Bremsbeläge, Bremssättel und Bremsbacken Große Lösekraft Hinterlässt keine Rückstände",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_575.jpg,cat_drogerie,,,ref_000058,obs_0000015234|obs_0000031762|obs_0000013848|obs_0000013362|obs_0000027202|obs_0000015954|obs_0000024166|obs_0000017601|obs_0000028357|obs_0000023750|obs_0000010953|obs_0000012011|obs_0000026432|obs_0000014189|obs_0000027513|obs_0000025004|obs_0000019901|obs_0000003536|obs_0000018411|obs_0000033271,obs_0000015234,,
Keine Marke,Bromelie,"€ 7,99",,"pro Einheit = 7,99","pro Einheit = 7,99","versch. Sorten, Topf Ø 12 cm",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_068.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_ultra_processed,tag_whole_food",,,ref_000059,obs_0000008778|obs_0000013123|obs_0000010968|obs_0000012719,obs_0000008778,,
LÄTTA,Brotaufstrich,"€ 1,19","€ 2,29","1 kg = 2,65","1 kg = 2,65","Original, Mit Joghurt oder Extra fit, 28 - 39 % Fett",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_139.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte",,BLS-S131100,ref_000060,obs_0000010510|obs_0000012207|obs_0000014956|obs_0000010497|obs_0000008458|obs_0000034334|obs_0000015391|obs_0000031930|obs_0000013124|obs_0000034763|obs_0000031182|obs_0000018403|obs_0000023659|obs_0000013042|obs_0000009622|obs_0000013999|obs_0000014255|obs_0000008633|obs_0000010939|obs_0000032207|obs_0000030806|obs_0000019544|obs_0000030811|obs_0000008542|obs_0000034274|obs_0000018920|obs_0000011500|obs_0000029804|obs_0000013818|obs_0000007196|obs_0000019379|obs_0000007745|obs_0000014568|obs_0000006143|obs_0000034818|obs_0000029842|obs_0000005571|obs_0000006122|obs_0000023016|obs_0000031998,obs_0000010497|obs_0000008458|obs_0000010510|obs_0000034334|obs_0000015391|obs_0000012207|obs_0000031930|obs_0000013124|obs_0000034763|obs_0000031182|obs_0000018403|obs_0000023659|obs_0000014956|obs_0000013042,,
SILVERCREST,Brotmesser,"€ 3,99",,"pro Einheit = 3,99","pro Einheit = 3,99",Aus Edelstahl Klinge ca. 20 cm Langanhaltende Klingenschärfe Ergonomisch geformter Griff Spülmaschinengeeignet,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_380.jpg,cat_non_food,,BLS-F303100,ref_000061,obs_0000028856|obs_0000033306|obs_0000031677,obs_0000028856|obs_0000033306|obs_0000031677,,
LEIFHEIT,Bügeltisch Air Board Compact M Plus,"€ 39,99","€ 84,99","pro Einheit = 39,99","pro Einheit = 39,99",Bügelfläche ca. 120 x 38 cm Bügeltischhöhe verstellbar bis ca. 98 cm Spezialbezug mit Thermo-Reflect-Technologie Mit Elektro-Anschluss und Kabelhalterung,Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_402.jpg,"cat_non_food,tag_ultra_processed",,,ref_000062,obs_0000015172|obs_0000011224,obs_0000015172,,
LEIFHEIT,Bügeltischbezug Air Board Thermo Reflect S M,"€ 9,99","€ 18,99","pro Einheit = 9,99","pro Einheit = 9,99","4 mm starke Molton-Auflage Schneller Bügeln dank Dampf- und Hitzereflexion Mit Schnurzug, Spannclip und Klettfixierung Für Bügeltische bis ca. 125 x 40 cm",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_404.jpg,"cat_non_food,tag_ultra_processed",,,ref_000063,,,,
CELLUCOR,C4 Sport Pre-Workout,"€ 14,99","€ 19,99","1 kg = 55,52","1 kg = 55,52","mit Koffein und Kreatin, Icys Blue Raspberry oder Fruit Punch",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_308.jpg,"cat_drogerie,diet_vegetarian,tag_ultra_processed",,,ref_000064,,,,
GALLO FAMILY,Cabernet Sauvignon Ros Zinfandel oder Chardonnay,"€ 4,44",,"1 l = 5,92","1 l = 5,92","Kalifornien, z. B. Cabernet Sauvignon: beerig, Noten von Pflaumen und Gewürzen, passt zu Fleisch- und Pastagerichten",Nein,Dieses Angebot findest du vom 16.04. bis 22.04. in deiner Kaufland-Filiale.,2026-04-16,2026-04-22,../images/kaufland/kaufland_offer_262.jpg,"cat_getraenke,tag_ultra_processed",,,ref_000065,obs_0000016137|obs_0000014639|obs_0000011135|obs_0000029266|obs_0000021890|obs_0000018693|obs_0000020741|obs_0000026501|obs_0000017557|obs_0000021560|obs_0000035022|obs_0000002164,obs_0000016137|obs_0000014639|obs_0000011135,,
